chunk_id,dataset_name,dataset_item_id,turn_idx,role,chunk_unit,chunk_idx,text,word_count,char_count
f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57::0::sentence::0,HuggingFaceH4/ultrachat_200k,f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57,0,user,sentence,0,"These instructions apply to section-based themes (Responsive 6.0+, Retina 4.0+, Parallax 3.0+ Turbo 2.0+, Mobilia 5.0+).",16,120
f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57::0::sentence::1,HuggingFaceH4/ultrachat_200k,f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57,0,user,sentence,1,What theme version am I using?,6,30
f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57::0::sentence::2,HuggingFaceH4/ultrachat_200k,f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57,0,user,sentence,2,"On your Collections pages & Featured Collections sections, you can easily show the secondary image of a product on hover by enabling one of the theme's built-in settings!",28,170
f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57::0::sentence::3,HuggingFaceH4/ultrachat_200k,f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57,0,user,sentence,3,Your Collection pages & Featured Collections sections will now display the secondary product image just by hovering over that product image thumbnail.,22,150
f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57::0::sentence::4,HuggingFaceH4/ultrachat_200k,f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57,0,user,sentence,4,Does this feature apply to all sections of the theme or just specific ones as listed in the text material?,20,106
f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57::1::sentence::0,HuggingFaceH4/ultrachat_200k,f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57,1,assistant,sentence,0,This feature only applies to Collection pages and Featured Collections sections of the section-based themes listed in the text material.,20,136
f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57::2::sentence::0,HuggingFaceH4/ultrachat_200k,f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57,2,user,sentence,0,Can you guide me through the process of enabling the secondary image hover feature on my Collection pages and Featured Collections sections?,22,140
f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57::3::sentence::0,HuggingFaceH4/ultrachat_200k,f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57,3,assistant,sentence,0,"Sure, here are the steps to enable the secondary image hover feature on your Collection pages and Featured Collections sections:

1.",21,132
f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57::3::sentence::1,HuggingFaceH4/ultrachat_200k,f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57,3,assistant,sentence,1,Log in to your Shopify account and go to your Online Store.,12,59
f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57::3::sentence::2,HuggingFaceH4/ultrachat_200k,f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57,3,assistant,sentence,2,2.,1,2
f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57::3::sentence::3,HuggingFaceH4/ultrachat_200k,f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57,3,assistant,sentence,3,Click on Customize theme for the section-based theme you are using.,11,67
f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57::3::sentence::4,HuggingFaceH4/ultrachat_200k,f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57,3,assistant,sentence,4,3.,1,2
f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57::3::sentence::5,HuggingFaceH4/ultrachat_200k,f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57,3,assistant,sentence,5,Navigate to the Collection pages or Featured Collections section where you want to enable the secondary image hover feature.,19,124
f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57::3::sentence::6,HuggingFaceH4/ultrachat_200k,f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57,3,assistant,sentence,6,4.,1,2
f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57::3::sentence::7,HuggingFaceH4/ultrachat_200k,f0e37e9f7800261167ce91143f98f511f768847236f133f2d0aed60b444ebe57,3,assistant,sentence,7,"With the section open, click on the section's setting (gear) icon in the top-left corner.",15,89
